sample_id,cram_url,md5sum
NA18868,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239548/NA18868.final.cram,4596b02297df79f1411a6817efdd215c
NA18908,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239550/NA18908.final.cram,cab5935df8762f89d68e978bc2eb8cf5
NA18933,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239555/NA18933.final.cram,993372dc77ab442e7630b6b35bb71a8a
HG00346,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240252/HG00346.final.cram,46056fdb1d832faeaa1ef7f123fa6c90
HG00355,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240257/HG00355.final.cram,55b8bb89feb81a829cac7c8e0b68bc8b
HG00364,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240264/HG00364.final.cram,2da31c15aa41519864b7930486f1f986
HG00369,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240269/HG00369.final.cram,597e570fb515e70ed4f8ae81250245cc
HG00372,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240271/HG00372.final.cram,f21f79a4731c6c1ecc2a887a258834c3
NA06994,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239278/NA06994.final.cram,b313186130fbf9c739a87f1cae648565
NA19107,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239620/NA19107.final.cram,332548d4a82f2e5bb9dd47dea1bbac56
NA19149,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239627/NA19149.final.cram,efe0f3588055b936cb49cc3a587d4c9c
NA19197,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239632/NA19197.final.cram,5b6aa66b8a8eaf1d90975e8e537b297c
NA10847,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239284/NA10847.final.cram,da8275fb01c608dce65575396220a1a6
NA11881,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239291/NA11881.final.cram,0adf2d389a10e6f77746a9aa4feae70b
NA11931,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239296/NA11931.final.cram,49f79b9a5754fe243e6775b5f4b3f212
NA11995,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239299/NA11995.final.cram,22f5bfd7b62e17647000405a1d5c92e4
NA19213,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239634/NA19213.final.cram,3e4fe1b98490d025b19d4bded7773ff7
NA19256,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239641/NA19256.final.cram,a072bd54d898050026b4943af7b9ff10
NA12044,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239305/NA12044.final.cram,d29d2294d2a8565153ac84ff26ee0c41
NA12156,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239310/NA12156.final.cram,b28adca8e434514ed6e4b36f549c0f3d
NA12717,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239317/NA12717.final.cram,36271bd9ebe2c112535c3d7c92fd50f3
NA12761,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239322/NA12761.final.cram,c44b51ff1131e6f22186e0e8a4f7ca96
NA12815,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239329/NA12815.final.cram,5cfacb40a999f2c6d646702df261f83e
NA12872,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239331/NA12872.final.cram,0d4500db05da7695d934959bab0cd071
NA18489,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239336/NA18489.final.cram,a6d825d2f418ad9fcc5f5330cbb93176
NA18519,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239349/NA18519.final.cram,bbfb27d440194a20397ec8284a9036ea
HG00099,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240116/HG00099.final.cram,83eb1c632542d574535681978a7ff450
NA19099,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239424/NA19099.final.cram,531e4fdb967d528d5cb86366dc88c0df
NA19108,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239426/NA19108.final.cram,771fe4e1b0f39d24938fa32d7795ce03
NA19131,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239431/NA19131.final.cram,4f0cab73a582711d93f5961c62f6640f
HG00101,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240118/HG00101.final.cram,d581ff70f96bad327b3a643cf4d13bd0
HG00109,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240125/HG00109.final.cram,d57407bc82910e81fb6d8ff95439809a
HG00114,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240130/HG00114.final.cram,9e22959ebc5527ce72dd6d5c651e0f3f
HG00129,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240137/HG00129.final.cram,98a5b445e118ddc22cb9e322d43d9244
NA19152,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239438/NA19152.final.cram,18a3f3af8f8ae839a5e1439c2a9dd89b
NA19200,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239445/NA19200.final.cram,75cc2770eb2392d5683b4486966226ce
NA19209,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239450/NA19209.final.cram,6c993389173490b9769f62fb24c18bdb
